magnitude_homerange,month_pld,species,class
-2,2,Sebastolobus altivelis,1
0,2,Selar crumenophthalmus,1
-3,2,Selaroides leptolepis,1
-2,2,Selene dorsalis,1
-2,2,Selene peruviana,1
-1,2,Selene setapinnis,1
0,2,Seriola dumerili,1
0,2,Seriola lalandi,1
0,2,Seriola rivoliana,1
-2,2,Seriolella brama,1
-1,2,Seriolella caerulea,1
-2,2,Seriolella porosa,1
-1,2,Seriolella punctata,1
-1,2,Seriolina nigrofasciata,1
-3,2,Sillago sihama,1
-1,2,Solea solea,1
0,2,Sphyraena jello,1
-1,2,Sphyraena obtusata,1
-1,2,Sphyraena sphyraena,1
-1,2,Spondyliosoma cantharus,1
-4,2,Sprattus fuegensis,7
-3,2,Sprattus sprattus,1
-2,2,Stenotomus chrysops,1
-4,2,Stephanolepis cirrhifer,7
-1,2,Stereolepis gigas,1
-2,2,Stromateus fiatola,1
-2,2,Tautoga onitis,1
-2,1,Tautogolabrus adspersus,4
-1,2,Tenualosa ilisha,1
-2,2,Tenualosa toli,1
4,2,Tetrapturus angustirostris,6
-1,2,Tetrapturus belone,1
0,2,Tetrapturus pfluegeri,1
3,2,Thunnus alalunga,6
0,1,Thunnus atlanticus,4
3,1,Thunnus maccoyii,2
4,2,Thunnus obesus,6
1,2,Thunnus thynnus,1
0,2,Thunnus tonggol,1
-1,2,Thyrsites atun,1
-2,2,Trachinotus blochii,1
-1,2,Trachinotus carolinus,1
-1,2,Trachinotus mookalee,1
-2,1,Trachinus draco,4
-1,2,Trachipterus arcticus,1
-2,2,Trachurus capensis,1
-1,2,Trachurus declivis,1
-2,2,Trachurus japonicus,1
-2,2,Trachurus lathami,1
-1,2,Trachurus mediterraneus,1
-1,3,Trachurus murphyi,3
0,1,Trachurus symmetricus,4
-2,3,Trachurus trachurus,3
-3,2,Trachurus trecae,1
-4,2,Tragulichthys jaculiferus,7
0,3,Trichiurus lepturus,3
-3,2,Trisopterus esmarkii,1
-1,2,Trisopterus luscus,1
-2,2,Trisopterus minutus,1
0,1,Tylosurus crocodilus,4
-1,2,Umbrina canariensis,1
-2,2,Umbrina canosai,1
-1,1,Umbrina cirrosa,4
-2,1,Uranoscopus scaber,4
-2,2,Urophycis brasiliensis,1
-1,2,Urophycis chuss,1
-2,2,Urophycis tenuis,1
-1,2,Variola louti,1
5,2,Xiphias gladius,6
-2,2,Zenopsis conchifer,1
-2,2,Zenopsis nebulosa,1
-1,2,Zeus faber,1
-2,2,Zoarces viviparus,1
