species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Atractoscion aequidens,NA,NA,NA,2288.23040061817,0.3118532119,VU,130,4.4820126516281515,Actinopteri,benthopelagic,Sciaenidae,habitat_coastal,4040000,2
Atractoscion nobilis,NA,NA,NA,1870.6448241063013,0.2966164356,LC,166,4.3325579710501865,Actinopteri,demersal,Sciaenidae,habitat_coastal,522500,2
Atrobucca nibe,NA,NA,NA,25016.4276402239,0.4608215116,NA,45,3.9776026236346294,Actinopteri,demersal,Sciaenidae,habitat_coastal,9827500,2
Atule mate,NA,NA,NA,1356.3753463842834,1.254655656,LC,30,4.22,Actinopteri,reef-associated,Carangidae,habitat_reef,11757500,2
Austroglossus microlepis,NA,NA,NA,11375.115712754665,0.1855808814,DD,75,3.5292381543070546,Actinopteri,bathydemersal,Soleidae,habitat_benthic,307500,2
Austroglossus pectoralis,NA,NA,NA,9694.211566856551,0.2676434264,NA,60,4.0429891087449015,Actinopteri,demersal,Soleidae,habitat_benthic,172500,2
Auxis thazard,NA,NA,NA,1188784.85326621,0.704484871,NA,65,4.37,Actinopteri,pelagic-neritic,Scombridae,pelagic,24452500,3
Bathyraja eatonii,NA,NA,NA,9.433008903094997,0.1161877415,DD,100,4.300000000000001,Elasmobranchii,demersal,Arhynchobatidae,habitat_benthic,1087500,2
Belone belone,NA,NA,NA,26192.698028067924,0.4789948705,LC,104,4.16,Actinopteri,pelagic-oceanic,Belonidae,pelagic,2555000,3
Beryx decadactylus,NA,NA,NA,10665.200704803774,0.1587068117,LC,100,4.136398373188146,Actinopteri,bathydemersal,Berycidae,habitat_deep,19952500,2
Beryx splendens,NA,NA,NA,11085.67752211561,0.2419321683,LC,70,4.27,Actinopteri,benthopelagic,Berycidae,habitat_deep,17805000,2
Bolbometopon muricatum,NA,NA,NA,921.48175302929894,0.2368272614,VU,130,2.7726231123167726,Actinopteri,reef-associated,Scaridae,habitat_reef,10460000,2
Boops boops,NA,NA,NA,289938.8997189822,0.4707123195,LC,40,2.79,Actinopteri,demersal,Sparidae,pelagic,2757500,3
Bothus pantherinus,NA,NA,NA,223.1836130656775,0.7856311563,LC,39,3.5479200071957036,Actinopteri,reef-associated,Bothidae,habitat_benthic,9750000,2
Brachydeuterus auritus,NA,NA,NA,70828.46313344083,0.6741900721,NT,30,3.1088964643124535,Actinopteri,benthopelagic,Haemulidae,habitat_coastal,650000,2
Brama brama,NA,NA,NA,70090.6936694998,0.2537322299,LC,100,4.089693740966523,Actinopteri,pelagic-neritic,Bramidae,migratory,140227500,3
Bregmaceros mcclellandi,NA,NA,NA,24255.3630681693,0.3895206175,NA,9.600000381469727,3.361101478309214,Actinopteri,pelagic-oceanic,Bregmacerotidae,pelagic,62220000,3
Brevoortia aurea,NA,NA,NA,7670.443706588466,0.9387696821,LC,34.400001525878906,2.847350523871368,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,317500,2
Brevoortia patronus,NA,NA,NA,977143.8443443908,0.8431082064,LC,35,2.324258642989198,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,485000,2
Brevoortia tyrannus,NA,NA,NA,762986.465060563,0.7243068538,LC,50,3.23,Actinopteri,pelagic-neritic,Clupeidae,migratory,335000,3
Brosme brosme,NA,NA,NA,449997.8369257748,0.1052321725,NA,120,3.9,Actinopteri,demersal,Lotidae,habitat_benthic,2245000,2
Brotula barbata,NA,NA,NA,22829.304346085402,0.2764273455,LC,94,3.67,Actinopteri,reef-associated,Ophidiidae,habitat_benthic,3760000,2
Callorhinchus callorynchus,NA,NA,NA,61930.47978902265,0.1667172616,LC,89.19999694824219,3.35,Holocephali,demersal,Callorhinchidae,habitat_benthic,1385000,2
Callorhinchus milii,NA,NA,NA,69198.5953749451,0.114485214,LC,125,3.6413292716389485,Holocephali,demersal,Callorhinchidae,habitat_benthic,1070000,2
Caprodon longimanus,NA,NA,NA,18.2779700984547,0.3928226144,LC,55,3.9402389178573314,Actinopteri,reef-associated,Serranidae,habitat_reef,1067500,2
Capros aper,NA,NA,NA,770203.427315826,0.435056667,LC,30,3.14,Actinopteri,demersal,Caproidae,habitat_reef,2592500,2
Carangoides bajad,NA,NA,NA,7411.747197787539,0.9758470988,LC,55,3.986943550078954,Actinopteri,reef-associated,Carangidae,habitat_reef,5572500,2
Carangoides fulvoguttatus,NA,NA,NA,221.74734769111035,1.009870027,LC,120,4.43,Actinopteri,reef-associated,Carangidae,habitat_reef,13272500,2
Carangoides malabaricus,NA,NA,NA,457.290518335727,1.1685438,LC,60,3.9215570649686824,Actinopteri,reef-associated,Carangidae,habitat_reef,11795000,2
Caranx hippos,NA,NA,NA,22718.78795954818,0.8714137407,LC,124,3.56,Actinopteri,reef-associated,Carangidae,habitat_reef,5142500,2
Caranx melampygus,NA,NA,NA,47.645174421439854,0.562323474,LC,117,4.49,Actinopteri,reef-associated,Carangidae,habitat_reef,13410000,2
Caranx rhonchus,NA,NA,NA,10792.924935716073,0.6431203813,LC,60,3.6413292716389485,Actinopteri,benthopelagic,Carangidae,habitat_coastal,1315000,2
Caranx ruber,NA,NA,NA,95.90817563069042,0.8242467285,LC,73,4.28,Actinopteri,reef-associated,Carangidae,habitat_reef,2530000,2
Caranx sexfasciatus,NA,NA,NA,273.4482874029431,0.7309462491,LC,120,4.5,Actinopteri,reef-associated,Carangidae,habitat_reef,11302500,2
Carcharhinus brachyurus,NA,NA,NA,57.31889036725634,0.0689476013,NT,325,4.5,Elasmobranchii,reef-associated,Carcharhinidae,hms,8752500,3
Carcharhinus limbatus,NA,NA,NA,15.704685367799984,0.09856930997,NT,275,4.37,Elasmobranchii,reef-associated,Carcharhinidae,hms,17640000,3
Carcharhinus longimanus,NA,NA,NA,11059.822296461507,0.0926683967,VU,400,4.16,Elasmobranchii,pelagic-oceanic,Carcharhinidae,hms,189070000,3
Caulolatilus microps,NA,NA,NA,1087.2128430746689,0.3455330779,DD,90,3.81,Actinopteri,demersal,Latilidae,sedentary,545000,1
