species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Anarhichas denticulatus,NA,Anarhichadidae,NA,3635000,habitat_deep,benthopelagic,180,NA,25393.14083,0.100670808,4.052330035,Actinopteri,NA,0.184868608,45.41195355,NA
Anarhichas lupus,NA,Anarhichadidae,NA,1955000,habitat_coastal,demersal,150,NA,81375.50792,0.104945385,3.55,Actinopteri,NA,0.230165491,46.24625559,NA
Anchoa nasus,NA,Engraulidae,NA,865000,habitat_coastal,pelagic-neritic,17,NA,7225.316677,1.296884333,3.33,Actinopteri,LC,0.001187934,45.03604219,NA
Anodontostoma chacunda,NA,Clupeidae,NA,8597500,habitat_coastal,pelagic-neritic,22,NA,116060.5257,1.401207267,2.931418782,Actinopteri,LC,0.001600792,48.0516869,NA
Anoplopoma fimbria,NA,Anoplopomatidae,NA,2682500,deep,bathydemersal,120,NA,951557.8095,0.035406384,3.84,Actinopteri,NA,0.128925101,68.06949429,NA
Antimora rostrata,NA,Moridae,NA,222710000,deep,bathypelagic,75,NA,486.5318366,0.11723796,3.622647419,Actinopteri,LC,2737.878572,59.05118314,NA
Aphanopus carbo,NA,Trichiuridae,NA,2627500,deep,bathypelagic,151,NA,84676.53886,0.346089063,4.463330799,Actinopteri,NA,0.216494353,47.82132679,NA
Aphareus rutilans,NA,Lutjanidae,NA,9965000,habitat_reef,reef-associated,110,NA,1738.87445,0.312215755,4.11771652,Actinopteri,LC,0.073070087,39.02680102,NA
Aphia minuta,NA,Gobiidae,NA,2717500,habitat_coastal,pelagic-neritic,7.900000095,NA,40.81806963,1.70140334,3.174282949,Actinopteri,NA,0.001071937,36.33979585,NA
Aplodactylus punctatus,NA,Aplodactylidae,NA,240000,habitat_coastal,demersal,43.70000076,NA,41.96266255,0.630179269,2.04,Actinopteri,NA,0.008586296,36.22505093,NA
Aprion virescens,NA,Lutjanidae,NA,12892500,habitat_reef,reef-associated,112,NA,113.3144342,0.58848637,4.28,Actinopteri,LC,0.567199566,30.80563369,NA
Apsilus fuscus,NA,Lutjanidae,NA,512500,habitat_reef,demersal,75,NA,3.139397329,0.591196273,4.005625412,Actinopteri,LC,0.038019791,27.27816842,NA
Archosargus probatocephalus,NA,Sparidae,NA,2200000,habitat_reef,reef-associated,91,NA,6582.156033,0.609579594,3.575942787,Actinopteri,LC,0.162062845,29.87434992,NA
Arctoscopus japonicus,NA,Trichodontidae,NA,1677500,habitat_benthic,bathydemersal,30,NA,108251.2158,0.630179269,3.557260934,Actinopteri,NA,0.001561982,49.22814017,NA
Argentina silus,NA,Argentinidae,NA,2310000,pelagic,bathypelagic,70,NA,2785.434725,0.073400392,3.32,Actinopteri,NA,0.077461104,53.94832547,NA
Argentina sphyraena,NA,Argentinidae,NA,2555000,pelagic,bathydemersal,35,NA,5669.679004,0.227703191,3.49,Actinopteri,NA,0.002463457,33.27998698,NA
