species,observed_homerange,family,n_ind,movement_keyword,demers_pelag,length,common_name,diet_troph3,Class,iucn_category,genus,r_fin,kfin,geog_range,references,predicted_homerange
Paralichthys californicus,NA,NA,NA,habitat_benthic,NA,152,NA,4.481651192,NA,NA,NA,NA,NA,NA,NA,0.07533700093199878
Platyrhinoidis triseriata,NA,NA,NA,habitat_benthic,NA,91,NA,3.473024044,NA,NA,NA,NA,NA,NA,NA,0.015584278760612408
Pleuronichthys coenosus,NA,NA,NA,habitat_benthic,NA,36,NA,3.230206397,NA,NA,NA,NA,NA,NA,NA,0.002503322097217785
Porichthys notatus,NA,NA,NA,habitat_benthic,NA,38,NA,4.05205074,NA,NA,NA,NA,NA,NA,NA,0.003465577449965375
Prognathodes falcifer,NA,NA,NA,habitat_reef,NA,15,NA,3.370293501,NA,NA,NA,NA,NA,NA,NA,9.477530853465158e-4
Pseudobatos productus,NA,NA,NA,habitat_benthic,NA,119,NA,3.59,NA,NA,NA,NA,NA,NA,NA,0.01713218032518453
Rathbunella hypoplecta,NA,NA,NA,habitat_benthic,NA,16,NA,3.594432867,NA,NA,NA,NA,NA,NA,NA,8.740458461874686e-4
Rhinogobiops nicholsii,NA,NA,NA,habitat_benthic,NA,15,NA,3.426328235,NA,NA,NA,NA,NA,NA,NA,9.394078178756331e-4
Scorpaena guttata,NA,NA,NA,habitat_benthic,NA,43,NA,3.76375,NA,NA,NA,NA,NA,NA,NA,0.008634748978976448
Scorpaenichthys marmoratus,NA,NA,NA,habitat_benthic,NA,99,NA,3.659806742,NA,NA,NA,NA,NA,NA,NA,0.011649433713122678
Sebastes atrovirens,NA,NA,NA,habitat_benthic,NA,42,NA,3.407650062,NA,NA,NA,NA,NA,NA,NA,0.014457549664756793
Sebastes auriculatus,NA,NA,NA,habitat_benthic,NA,56,NA,4.0427116,NA,NA,NA,NA,NA,NA,NA,0.013104717855500072
Sebastes carnatus,NA,NA,NA,habitat_benthic,NA,39,NA,3.659806849,NA,NA,NA,NA,NA,NA,NA,0.0058081506753587045
Sebastes caurinus,NA,NA,NA,habitat_benthic,NA,58,NA,4.06,NA,NA,NA,NA,NA,NA,NA,0.00871911405839936
Sebastes chrysomelas,NA,NA,NA,habitat_benthic,NA,39,NA,3.519719745,NA,NA,NA,NA,NA,NA,NA,0.007256701174795198
Sebastes dallii,NA,NA,NA,habitat_benthic,NA,25,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,5.689802818701912e-4
Sebastes hopkinsi,NA,NA,NA,habitat_reef,NA,29,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,6.189260816808667e-4
Sebastes miniatus,NA,NA,NA,habitat_reef,NA,91,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,0.09545426905847033
Sebastes nebulosus,NA,NA,NA,habitat_reef,NA,45,NA,3.9,NA,NA,NA,NA,NA,NA,NA,0.07571021573234742
Sebastes paucispinis,NA,NA,NA,habitat_reef,NA,91,NA,3.557076306,NA,NA,NA,NA,NA,NA,NA,0.1075795098125452
Sebastes pinniger,NA,NA,NA,habitat_benthic,NA,76,NA,3.827911374,NA,NA,NA,NA,NA,NA,NA,0.01330620004434212
Sebastes rastrelliger,NA,NA,NA,habitat_benthic,NA,56,NA,3.893285356,NA,NA,NA,NA,NA,NA,NA,0.014508597699122194
Sebastes rosaceus,NA,NA,NA,habitat_benthic,NA,36,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,0.001385919733646971
Sebastes rubrivinctus,NA,NA,NA,habitat_benthic,NA,51,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,0.00920356994890036
Sebastes saxicola,NA,NA,NA,habitat_benthic,NA,38,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,0.003650070021646782
Sebastes semicinctus,NA,NA,NA,habitat_benthic,NA,25,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,5.689802818701912e-4
Sebastes serranoides,NA,NA,NA,habitat_reef,NA,61,NA,4.15,NA,NA,NA,NA,NA,NA,NA,0.05731265337471284
Sebastes serriceps,NA,NA,NA,habitat_benthic,NA,41,NA,3.764736842,NA,NA,NA,NA,NA,NA,NA,0.0067766013088549305
Semicossyphus pulcher,NA,NA,NA,habitat_reef,NA,91,NA,3.603772007,NA,NA,NA,NA,NA,NA,NA,0.10759174373128066
Sphyraena argentea,NA,NA,NA,pelagic,NA,145,NA,4.481651192,NA,NA,NA,NA,NA,NA,NA,0.9858482062646261
Stereolepis gigas,NA,NA,NA,habitat_benthic,NA,250,NA,4.481651192,NA,NA,NA,NA,NA,NA,NA,0.0463770003941102
Synodus lucioceps,NA,NA,NA,habitat_reef,NA,64,NA,4.481651192,NA,NA,NA,NA,NA,NA,NA,0.06405917434981898
Tetronarce californica,NA,NA,NA,habitat_benthic,NA,140,NA,4.481651192,NA,NA,NA,NA,NA,NA,NA,0.056920014907570156
Triakis semifasciata,NA,NA,NA,habitat_benthic,NA,198,NA,3.67,NA,NA,NA,NA,NA,NA,NA,0.043787790015398405
Ulvicola sanctaerosae,NA,NA,NA,habitat_benthic,NA,29,NA,3.304919519,NA,NA,NA,NA,NA,NA,NA,9.550782683552903e-4
